tourney_date,tourney_name,round,winner_name,loser_name,score
20250101,Brisbane,R16,Grigor Dimitrov,Aleksandar Vukic,6-2 7-6(5)
20250101,Hong Kong,R16,Arthur Fils,Zizou Bergs,7-6(7) 6-4
20250101,United Cup,RR,Tomas Machac,Hubert Hurkacz,7-5 3-6 6-4
20250102,Hong Kong,R16,Lorenzo Musetti,Gabriel Diallo,6-4 6-3
20250102,Hong Kong,R16,Fabian Marozsan,Andrey Rublev,7-5 3-6 6-3
20250102,Brisbane,R16,Giovanni Mpetshi Perricard,Frances Tiafoe,6-4 7-6(4)
20250102,Brisbane,R16,Novak Djokovic,Gael Monfils,6-3 6-3
20250102,United Cup,QF,Hubert Hurkacz,Billy Harris,7-6(3) 7-5
20250103,United Cup,QF,Tomas Machac,Flavio Cobolli,6-1 6-2
20250103,Brisbane,QF,Reilly Opelka,Novak Djokovic,7-6(6) 6-3
20250103,Brisbane,QF,Jiri Lehecka,Nicolas Jarry,6-4 6-4
20250103,Brisbane,QF,Giovanni Mpetshi Perricard,Jakub Mensik,7-5 7-6(5)
20250103,Hong Kong,QF,Jaume Munar,Lorenzo Musetti,2-6 7-6(4) 7-5
20250104,Brisbane,SF,Jiri Lehecka,Grigor Dimitrov,6-4
20250104,Brisbane,SF,Reilly Opelka,Giovanni Mpetshi Perricard,6-3 7-6(4)
20250104,United Cup,SF,Hubert Hurkacz,Alexander Shevchenko,6-3 6-2
20250104,Canberra CH,F,Joao Fonseca,Ethan Quinn,6-4 6-4
20250105,Brisbane,F,Jiri Lehecka,Reilly Opelka,
20250105,United Cup,F,Taylor Fritz,Hubert Hurkacz,6-4 5-7 7-6(4)
20250105,Hong Kong,F,Alexandre Muller,Kei Nishikori,2-6 6-1 6-3
20250106,Australian Open,Q1,Lukas Neumayer,Elmer Moller,6-7(5) 6-3 6-4
20250106,Adelaide,R32,Denis Shapovalov,Zhizhen Zhang,6-3 6-4
20250106,Oeiras 1 CH,R32,Karue Sell,Robin Bertrand,6-2 6-3
20250107,Australian Open,Q1,Dominik Koepfer,Ignacio Buse,2-6 6-3 7-6(5)
20250108,Australian Open,Q2,Dalibor Svrcina,Khumoyun Sultanov,6-3 1-6 6-3
20250108,Auckland,R16,Gael Monfils,Jan Lennard Struff,6-1 7-6(5)
20250108,Auckland,R16,Nishesh Basavareddy,Alejandro Tabilo,6-4 5-7 6-4
20250109,Auckland,R16,Jakub Mensik,Ben Shelton,7-6(2) 4-6 7-5
20250109,Auckland,QF,Gael Monfils,Facundo Diaz Acosta,6-3 6-1
20250110,Auckland,SF,Gael Monfils,Nishesh Basavareddy,7-6(5) 6-4
20250111,Auckland,F,Gael Monfils,Zizou Bergs,6-3 6-4
20250111,Adelaide,F,Felix Auger Aliassime,Sebastian Korda,6-3 3-6 6-1
20250112,Australian Open,R128,Arthur Fils,Otto Virtanen,3-6 7-6(4) 6-4 6-4
20250112,Australian Open,R128,Kei Nishikori,Thiago Monteiro,4-6 6-7(4) 7-5 6-2 6-3
