player,elo_overall,elo_hard,elo_clay,elo_grass
Jannik Sinner,2158.5067549566274,2140.4032131355166,1784.4150177506767,1663.6697787177218
Novak Djokovic,2078.6824532716155,2077.457559146418,1995.7466585727518,1962.2857962180485
Carlos Alcaraz,2012.9065471966721,1926.214470086067,1914.9580809521835,1736.289027055749
Roger Federer,2008.7053939677035,2043.102096902473,1886.7987725395449,1925.3114139806792
Robin Soderling,1990.9479305630337,1915.4610548927456,1875.834772157521,1633.0919148638575
Alexander Zverev,1955.6519735742718,1906.7040762624008,1886.4110057968596,1660.5149627614678
Juan Martin del Potro,1924.1147104545912,1961.9251077934246,1800.0386384424007,1703.0245699117304
Taylor Fritz,1911.7832872196475,1863.8188785286711,1713.9108184116976,1640.5068687179396
Daniil Medvedev,1900.0308666133258,1899.42931396233,1689.277309966769,1697.8478327063663
Nick Kyrgios,1896.4549147883747,1848.7806038359863,1642.6803409137474,1677.606825237051
Rafael Nadal,1887.0866002095956,1871.7845368652675,2010.5489752327312,1794.5969813162164
Grigor Dimitrov,1863.224546757488,1837.207963346264,1716.6517637753482,1623.1129624803534
Alex De Minaur,1860.3350125332468,1813.352621076937,1667.8015935036838,1662.2242950259879
Jack Draper,1848.6339330031326,1785.486847587206,1532.4106715419794,1599.265755221951
Holger Rune,1834.0085162967748,1787.6817983328335,1714.6237199791478,1558.9304523633193
Sebastian Korda,1820.3958658828726,1772.6821454424592,1578.6486887640244,1590.4025348586097
Andy Roddick,1820.258492769232,1803.9574978337246,1606.0973373990842,1772.208742376622
Stefanos Tsitsipas,1817.7130412181784,1745.42252753448,1892.4582164781757,1568.7473595914341
Hubert Hurkacz,1816.3338060578471,1757.9130673316474,1684.429591801515,1630.6153489280887
Tommy Paul,1816.0443325858357,1752.0195992384245,1603.7445502274386,1644.162989781388
Matteo Berrettini,1815.0767862107448,1702.5875355602989,1834.592451675662,1728.9843287760514
Andre Agassi,1810.1544617373222,1824.8581140749588,1658.6562439878915,1594.5357372287078
Karen Khachanov,1798.0026985123925,1769.4667978653122,1729.556102804726,1588.1729671060273
